district,district_en,community,title,layout,bedrooms,area_sqm,orientation,decoration,decoration_en,floor_level,floor_level_en,total_floors,build_year,property_age,building_type,building_type_en,total_price_wan,total_price_yuan,unit_price_yuan_sqm,tags,listing_url
qingpu,Qingpu,虹桥正荣府,飞机户型 采光视野无遮挡满五年看房方便,3室2厅,3.0,116.92,南,精装,Fully Furnished,中,Mid,14.0,2017.0,8.0,板楼,Slab,498.0,4980000.0,42594.0,VR看装修|房本满五年|随时看房,https://sh.lianjia.com/ershoufang/107111348123.html
qingpu,Qingpu,崧泽华城华中苑二区,崧泽华城华中苑二区 2室1厅 南,2室1厅,2.0,79.65,南,毛坯,Bare Shell,低,Low,18.0,2014.0,11.0,板楼,Slab,124.0,1240000.0,15569.0,VR房源|房本满五年|随时看房,https://sh.lianjia.com/ershoufang/107115531207.html
qingpu,Qingpu,海棠馨苑南区,新上好房 小区中间位置好楼层可拎包入住,1室1厅,1.0,49.28,南,精装,Fully Furnished,中,Mid,11.0,2015.0,10.0,板楼,Slab,145.0,1450000.0,29424.0,近地铁|VR房源|房本满五年,https://sh.lianjia.com/ershoufang/107115425292.html
qingpu,Qingpu,上海豪都国际花园(公寓),位置好 中楼层 采光好 经典大三房一卫 转角大阳台,3室2厅,3.0,116.52,南,简装,Basic Furnished,中,Mid,6.0,1996.0,29.0,板楼,Slab,319.0,3190000.0,27378.0,VR房源|房本满五年|随时看房,https://sh.lianjia.com/ershoufang/107111534597.html
qingpu,Qingpu,泰安公寓三、四期,房户型好两房朝南 ，格局好领包入住楼层好视野很佳。,2室1厅,2.0,70.95,南,简装,Basic Furnished,中,Mid,5.0,2012.0,13.0,板楼,Slab,115.0,1150000.0,16209.0,VR房源|房本满五年|随时看房,https://sh.lianjia.com/ershoufang/107115434145.html
qingpu,Qingpu,金瑞苑北苑,大虹桥，一手动迁，业主诚意出售，总价低二房,2室1厅,2.0,69.96,南,毛坯,Bare Shell,低,Low,18.0,2012.0,13.0,板楼,Slab,158.0,1580000.0,22585.0,VR房源,https://sh.lianjia.com/ershoufang/107115591871.html
qingpu,Qingpu,璟雲里(绿湖路),徽派江南风格，精装修1楼带花园，光线足 无遮挡。,3室2厅,3.0,93.53,南 北,精装,Fully Furnished,低,Low,6.0,2021.0,4.0,板楼,Slab,235.0,2350000.0,25126.0,VR房源|房本满两年|随时看房,https://sh.lianjia.com/ershoufang/107114948272.html
qingpu,Qingpu,馨浦苑北区,边套户型，带装修，好楼层，视野开阔采光无遮挡,2室1厅,2.0,75.49,南,简装,Basic Furnished,中,Mid,18.0,2016.0,9.0,板楼,Slab,228.0,2280000.0,30203.0,近地铁|VR房源|房本满五年,https://sh.lianjia.com/ershoufang/107114861304.html
qingpu,Qingpu,瑞和锦庭-东区,景观楼层，临河大落地窗，近地铁,1室1厅,1.0,56.65,南,简装,Basic Furnished,高,High,18.0,2013.0,12.0,板楼,Slab,126.0,1260000.0,22242.0,VR房源|房本满五年,https://sh.lianjia.com/ershoufang/107114738862.html
qingpu,Qingpu,南山雨果西区,此房是一楼带花园的，大一房，看房提前预约，满五年,1室1厅,1.0,56.06,南,精装,Fully Furnished,低,Low,11.0,2015.0,10.0,板楼,Slab,225.0,2250000.0,40136.0,VR房源|随时看房,https://sh.lianjia.com/ershoufang/107115648606.html
